*X-Coordinate,*Y-Coordinate,*Z-Coordinate,DESCR,*Vertex Number,LEVEL
19905.09361,30157.3209,7677.075048,Truck_Chute,1,3315
19828.38744,30165.80388,7679.390262,Truck_Chute,2,3315
20044.03373,30310.91303,7119.411483,Ore_Pass_Access,1,3875
20001.31092,30253.76126,7121.552139,Ore_Pass_Access,2,3875
20047.10707,30709.167,6445.445137,Personnel_Carrier_Parking_Charging_Station,1,4560
20026.67999,30654.66953,6445.445137,Personnel_Carrier_Parking_Charging_Station,2,4560
19808.6883,30829.54156,6437.292065,Storage_Charging_Station,1,4560
19869.51796,30886.30416,6437.292065,Storage_Charging_Station,2,4560
19731.56661,30181.55264,7135.668309,Personnel_Carrier_Parking_Charging_Station,1,3875
19781.80526,30214.35626,7135.668309,Personnel_Carrier_Parking_Charging_Station,2,3875
19758.90295,30139.6871,7137.168309,Storage_Charging_Station,1,3875
19834.09316,30188.78297,7137.168309,Storage_Charging_Station,2,3875
19649.62185,29967.63832,8521.019303,Ore_Pass,1,3315
19828.38744,30165.80388,7679.390262,Ore_Pass,2,3315
19938.03398,30202.21077,7675.404771,Ore_Pass_Access,1,3315
19905.09361,30157.3209,7677.075048,Ore_Pass_Access,2,3315
19846.56748,30077.56374,7680.042679,Ore_Pass_Access,3,3315
19846.56748,30077.56374,7680.042679,Ore_Pass,1,3875
19945.31988,30188.33634,7130.344872,Ore_Pass,2,3875
20001.31092,30253.76126,7121.552139,Ore_Pass,1,4560
19986.22917,30396.29181,6514.478506,Ore_Pass,2,4560
19622.67231,30443.59367,7682.730667,Storage_Charging_Station,1,3315
19681.03122,30484.45702,7684.867959,Storage_Charging_Station,2,3315
19893.41553,30633.17134,6738.293764,Storage_Charging_Station,1,4260
19967.37522,30684.95848,6741.002407,Storage_Charging_Station,2,4260
19944.29218,30607.82239,6736.588507,Personnel_Carrier_Parking_Charging_Station,1,4260
20001.35546,30647.71323,6738.675318,Personnel_Carrier_Parking_Charging_Station,2,4260
19454.6849,30090.81086,8528.363634,Truck_Side_Loading_Location,1,2315
19535.16043,30168.5685,8525,Truck_Side_Loading_Location,2,2315
19454.62661,30093.45518,8388.361717,Truck_Side_Loading_Location,1,2475
19536.93614,30169.87047,8385,Truck_Side_Loading_Location,2,2475
19502.46923,30109.40842,8248.399388,Truck_Side_Loading_Location,1,2755
19571.47885,30197.96546,8245,Truck_Side_Loading_Location,2,2755
19552.04146,30142.96447,8108.617829,Truck_Side_Loading_Location,1,2895
19629.92484,30235.03599,8105,Truck_Side_Loading_Location,2,2895
19519.58996,30181.40735,7968.501053,Truck_Side_Loading_Location,1,3035
19591.24679,30269.08569,7965,Truck_Side_Loading_Location,2,3035
19566.53622,30210.50126,7828.391665,Truck_Side_Loading_Location,1,3175
19635.3681,30299.85001,7825,Truck_Side_Loading_Location,2,3175
19570.22159,30276.34957,7690.146657,Truck_Side_Loading_Location,1,3315
19682.96205,30395.17851,7685,Truck_Side_Loading_Location,2,3315
19596.7308,30383.61606,7548.269496,Truck_Side_Loading_Location,1,3455
19661.71408,30471.10614,7545,Truck_Side_Loading_Location,2,3455
